"SiteName","SiteURL","LibraryName","ParentFolder","FileName","FileType","FileSize","AbsoluteURL"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Access to your recent purchase from Solarwinds.pdf","pdf","18","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Access to your recent purchase from Solarwinds.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Acrobat 10.0.pdf","pdf","201","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Acrobat 10.0.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Acronis - Acronis DiskDirector 10.0.pdf","pdf","20","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Acronis - Acronis DiskDirector 10.0.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Adobe Acrobat 057.pdf","pdf","10","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Adobe Acrobat 057.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Adobe CLP number.pdf","pdf","109","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Adobe CLP number.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","ArcView 8.3 license07s.pdf","pdf","57","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/ArcView 8.3 license07s.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","ArcView 8.3 license08s.pdf","pdf","57","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/ArcView 8.3 license08s.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","ArcView license pricin09g.pdf","pdf","50","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/ArcView license pricin09g.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","ArcView license pricin10g.pdf","pdf","50","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/ArcView license pricin10g.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","ArcView summar11y.pdf","pdf","33","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/ArcView summar11y.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","ArcView summar12y.pdf","pdf","33","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/ArcView summar12y.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Aryson Technologies PST Converter.pdf","pdf","124","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Aryson Technologies PST Converter.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Auto Read Information 4.25.16.pdf","pdf","2344","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Auto Read Information 4.25.16.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","AutoCAD Maintenance for 10-11.pdf","pdf","71","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/AutoCAD Maintenance for 10-11.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","AutoCAD renewal 2012.pdf","pdf","148","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/AutoCAD renewal 2012.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Autodesk_ 2017_Civil3D.pdf","pdf","20","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Autodesk_ 2017_Civil3D.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Barracuda_Networks_Receipt_152939.pdf","pdf","38","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Barracuda_Networks_Receipt_152939.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Barracuda_Archiver_Subscriptions_BAR-MA-143164_894605.pdf","pdf","90","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Barracuda_Archiver_Subscriptions_BAR-MA-143164_894605.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Barracuda_Networks_Receipt_516961.pdf","pdf","50","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Barracuda_Networks_Receipt_516961.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Barracuda_Subscriptions_BAR-BS-401274_939122.pdf","pdf","90","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Barracuda_Subscriptions_BAR-BS-401274_939122.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Barracuda_Subscriptions_BAR-MA-143164_1105247.pdf","pdf","87","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Barracuda_Subscriptions_BAR-MA-143164_1105247.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Barracuda_Subscriptions_BAR-SF-36663_152939.pdf","pdf","87","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Barracuda_Subscriptions_BAR-SF-36663_152939.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Barracuda_Subscriptions_BAR-SF-36663_516961.pdf","pdf","87","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Barracuda_Subscriptions_BAR-SF-36663_516961.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Barracuda_Subscriptions_BAR-SF-425112_1084529.pdf","pdf","87","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Barracuda_Subscriptions_BAR-SF-425112_1084529.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Barracuda_Subscriptions_BAR-SF-425112_1298019.pdf","pdf","35","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Barracuda_Subscriptions_BAR-SF-425112_1298019.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Blue Iris.pdf","pdf","455","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Blue Iris.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Bluebeam_Revu_2019eXtreme.pdf","pdf","15","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Bluebeam_Revu_2019eXtreme.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","City of Post Falls - Additional Licenses and Subscription Renewal 2013.pdf","pdf","243","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/City of Post Falls - Additional Licenses and Subscription Renewal 2013.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","COGZcodes.pdf","pdf","384","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/COGZcodes.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","COGZ_instructions.pdf","pdf","2531","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/COGZ_instructions.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Cross_Track_Setup.pdf","pdf","981","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Cross_Track_Setup.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Crystal Reports - SAP Order SO0000167259 - Confirmation.pdf","pdf","16","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Crystal Reports - SAP Order SO0000167259 - Confirmation.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Exchange 2019 CALs.pdf","pdf","16","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Exchange 2019 CALs.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","EFTM010130802316.pdf","pdf","667","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/EFTM010130802316.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Exchange 2019 license.pdf","pdf","19","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Exchange 2019 license.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","FW_ Shoretel Licensing.pdf","pdf","76","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/FW_ Shoretel Licensing.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Getting Started with Schneider Electric Licensing.pdf","pdf","248","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Getting Started with Schneider Electric Licensing.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Hyper-v BackupAssist_Registration_3783888.pdf","pdf","46","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Hyper-v BackupAssist_Registration_3783888.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Image for Windows Licenses.pdf","pdf","28","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Image for Windows Licenses.pdf"
"City Hall IT Dept","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","Documents","/sites/CityHallITDept/Shared Documents","Lanteria 2021 license.pdf","pdf","102","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept/Shared Documents/General/Licenses/Lanteria 2021 license.pdf"
